#{"t_start": 1767454746.298802, "env_id": "None"}
r,l,t
-2221910.614697,1001,560.720166
-2277329.733934,1001,564.899235
-1887639.556496,1001,577.97134
-1755238.00412,1001,582.193272
-2210448.83062,1001,586.488909
-2255017.014916,1001,590.764729
-2235779.032763,1001,594.943382
-2043471.165242,1001,608.42002
-2229147.190895,1001,612.726587
-1942234.769072,1001,616.80761
-2047688.09602,1001,620.919106
-2061198.883184,1001,634.768699
-2119681.943801,1001,639.014607
-1930587.360372,1001,643.353429
-2045290.854283,1001,648.129951
-2038469.066747,1001,662.39882
-2066387.659292,1001,666.578769
-2064204.742445,1001,670.892011
-2098338.597904,1001,675.60665
-2359932.979275,1001,690.21807
-1961915.94121,1001,694.647971
-2459858.453383,1001,698.82212
-2037505.335203,1001,703.217774
-2119688.369149,1001,716.602641
-1951913.69903,1001,720.733112
-2031796.347132,1001,725.056873
-1934028.177821,1001,729.337756
-1508313.985855,1001,742.628373
-2092642.081629,1001,747.26068
-2285212.578472,1001,751.606879
-2110434.957249,1001,755.742948
-1658301.403272,1001,768.884179
-2110625.816207,1001,773.009499
-2102394.430613,1001,777.243468
-2016300.404111,1001,781.332566
-1923031.991099,1001,794.470754
-2121684.082761,1001,798.607197
-1580361.111053,1001,802.75355
-1984558.712311,1001,807.03066
-1991910.894782,1001,820.232069
-1913177.782771,1001,824.34982
-1754030.401656,1001,828.662033
-1689376.147003,1001,832.978761
-2468797.715277,1001,846.205512
-2189569.907588,1001,850.424348
-1905948.21579,1001,854.824232
-1932601.052477,1001,859.296285
-2132008.315026,1001,872.999568
-1893306.193957,1001,877.186891
-1899821.058775,1001,881.242506
-2177074.441055,1001,885.522973
-2260840.497186,1001,889.632035
-2397939.035908,1001,902.613936
-1906391.382181,1001,906.939372
-2143611.171294,1001,911.047139
-2051025.873594,1001,915.175553
-2332100.943493,1001,928.389384
-2036498.949461,1001,932.614091
-2094719.341949,1001,936.884602
-2149974.852844,1001,941.170587
-2048557.467828,1001,954.413411
-2060920.67942,1001,958.652131
-2007365.441162,1001,962.922748
-1964736.090232,1001,967.179194
-1951575.855786,1001,980.233077
-1974538.72449,1001,984.77614
-2166347.30543,1001,989.161485
-2079633.620814,1001,993.505333
-2065329.562516,1001,1007.04386
-2327587.656818,1001,1011.443074
-1923614.342613,1001,1015.852734
-1865381.371541,1001,1020.101423
-2272455.432296,1001,1033.326437
-2132240.845377,1001,1037.47685
-1897858.20651,1001,1041.706557
-1914174.198159,1001,1046.326174
-1977230.808761,1001,1060.185059
-2150975.835673,1001,1064.312027
-1998009.756144,1001,1068.467869
-2378964.770665,1001,1072.687181
-2006607.363824,1001,1086.168281
-1953686.666616,1001,1090.46816
-2096961.710481,1001,1094.76485
-2264832.801621,1001,1099.066192
-1984576.116542,1001,1112.327061
-1912117.539796,1001,1116.475042
-2108742.085711,1001,1120.556225
-2205537.836902,1001,1124.932237
-1821301.396994,1001,1138.194703
-2025713.714471,1001,1142.585949
-1899089.262713,1001,1146.832363
-1705221.50673,1001,1151.160626
-1773568.156487,1001,1164.409462
-1767508.637681,1001,1168.663777
-2011576.048785,1001,1173.055552
-1901822.325446,1001,1177.383431
-2127365.114348,1001,1181.555648
-1885983.362283,1001,1194.838562
